City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Lorengau,PG,81.88,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
1,Ayorou,NE,71.71,clear sky,14.7308,0.9174,Hotel Amenokal
3,Nueve De Julio,AR,82.71,scattered clouds,-35.4444,-60.8831,Grand Hotel Libertad - GHL
8,Kapaa,US,80.58,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
16,Salinopolis,BR,75.43,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
19,Puerto Ayora,EC,80.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
21,Puerto Escondido,MX,83.23,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
28,Port Alfred,ZA,70.12,scattered clouds,-33.5906,26.891,The Halyards Hotel
30,Sao Miguel Do Araguaia,BR,72.23,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
32,Vaini,TO,81.48,overcast clouds,-21.2,-175.2,Keleti Beach Resort
33,Isangel,VU,77.11,heavy intensity rain,-19.55,169.2667,Tanna Lodge
40,Pedreira,BR,72.57,overcast clouds,-22.7419,-46.9014,Residence Park Hotel
41,Saint-Philippe,RE,76.55,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
43,Mareeba,AU,75.92,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
45,Hilo,US,80.33,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
47,Sao Joao Da Barra,BR,77.04,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
48,Obidos,BR,73.02,overcast clouds,-1.9175,-55.5181,Hotel Amazônia Center
57,Port Macquarie,AU,74.32,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
72,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
74,Tual,ID,82.74,light rain,-5.6667,132.75,Grand Vilia Hotel
75,Rikitea,PF,77.23,overcast clouds,-23.1203,-134.9692,People ThankYou
80,Nabire,ID,75.54,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
81,Arraial Do Cabo,BR,75.27,light rain,-22.9661,-42.0278,Pousada Porto Praia
84,Dingle,PH,74.39,clear sky,10.9995,122.6711,SEGAYA PROPERTY
87,Podor,MR,82.35,clear sky,16.6527,-14.9587,Auberge Du Tékrour
88,Atuona,PF,77.63,few clouds,-9.8,-139.0333,Villa Enata
89,Cayenne,GF,79.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
95,Campos,BR,75.4,broken clouds,-21.75,-41.3,Palace Hotel - Campos dos Goytacazes
