City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lorengau,PG,-2.0226,147.2712,81.88,78,99,7.07,overcast clouds
1,Ayorou,NE,14.7308,0.9174,71.71,13,3,11.05,clear sky
2,Dudinka,RU,69.4058,86.1778,-3.39,94,100,13.87,overcast clouds
3,Nueve De Julio,AR,-35.4444,-60.8831,82.71,60,38,5.82,scattered clouds
4,Jamestown,US,42.097,-79.2353,12.09,54,0,3.0,clear sky
5,Faya,SA,18.3851,42.4509,55.51,75,0,6.11,clear sky
6,Severo-Kurilsk,RU,50.6789,156.125,23.79,77,92,18.37,light snow
7,Hit,IQ,33.6416,42.8251,49.55,61,38,3.53,scattered clouds
8,Kapaa,US,22.0752,-159.319,80.58,67,0,3.0,clear sky
9,Kalamazoo,US,42.2506,-85.55,20.95,36,75,5.75,broken clouds
10,Asosa,ET,10.0667,34.5333,64.62,37,4,4.94,clear sky
11,Pedasi,PA,7.5333,-80.0333,85.06,70,28,13.38,scattered clouds
12,Tornio,FI,65.8481,24.1466,23.02,92,99,13.27,overcast clouds
13,Narsaq,GL,60.9167,-46.05,12.42,96,100,2.15,light snow
14,Barrow,US,71.2906,-156.7887,-5.78,77,100,12.66,light snow
15,Ribeira Brava,PT,32.65,-17.0667,64.0,67,18,6.11,few clouds
16,Salinopolis,BR,-0.6136,-47.3561,75.43,89,100,5.23,overcast clouds
17,Mataura,NZ,-46.1927,168.8643,57.61,96,100,2.59,moderate rain
18,Bethel,US,41.3712,-73.414,19.36,64,100,1.99,overcast clouds
19,Puerto Ayora,EC,-0.7393,-90.3518,80.56,72,31,8.25,scattered clouds
20,Ushuaia,AR,-54.8,-68.3,44.26,93,100,18.41,moderate rain
21,Puerto Escondido,MX,15.85,-97.0667,83.23,65,20,9.22,few clouds
22,Ostrovnoy,RU,68.0531,39.5131,14.22,88,83,13.04,broken clouds
23,Tambopata,PE,-12.7333,-69.1833,74.64,97,97,1.54,overcast clouds
24,Arsikere,IN,13.3139,76.2561,69.66,72,97,3.15,overcast clouds
25,Requena,ES,39.4883,-1.1004,39.79,27,0,3.22,clear sky
26,New Norfolk,AU,-42.7826,147.0587,64.92,57,20,1.99,few clouds
27,Harnosand,SE,62.6323,17.9379,32.02,98,100,23.82,light snow
28,Port Alfred,ZA,-33.5906,26.891,70.12,85,44,12.08,scattered clouds
29,Cape Town,ZA,-33.9258,18.4232,67.26,70,0,5.99,clear sky
30,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,72.23,93,99,6.04,overcast clouds
31,Corleone,IT,37.8134,13.3017,47.44,86,7,3.62,clear sky
32,Vaini,TO,-21.2,-175.2,81.48,78,100,15.75,overcast clouds
33,Isangel,VU,-19.55,169.2667,77.11,100,100,4.61,heavy intensity rain
34,Victoria,HK,22.2855,114.1577,59.25,82,96,1.01,overcast clouds
35,Eufaula,US,31.8913,-85.1455,45.03,24,0,4.61,clear sky
36,Punta Arenas,CL,-53.15,-70.9167,51.91,54,75,13.8,broken clouds
37,San Vicente,AR,-26.6167,-54.1333,67.8,79,91,5.5,overcast clouds
38,Port Elizabeth,ZA,-33.918,25.5701,66.49,88,0,10.36,clear sky
39,Marsh Harbour,BS,26.5412,-77.0636,59.77,61,39,27.29,scattered clouds
40,Pedreira,BR,-22.7419,-46.9014,72.57,97,100,3.85,overcast clouds
41,Saint-Philippe,RE,-21.3585,55.7679,76.55,86,51,8.77,light rain
42,Wenatchee,US,47.4235,-120.3103,31.44,74,100,0.0,overcast clouds
43,Mareeba,AU,-17.0,145.4333,75.92,84,98,2.3,overcast clouds
44,Saskylakh,RU,71.9167,114.0833,-21.17,100,99,3.49,overcast clouds
45,Hilo,US,19.7297,-155.09,80.33,57,75,10.36,broken clouds
46,Pacific Grove,US,36.6177,-121.9166,68.58,44,0,1.01,clear sky
47,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.04,88,65,11.68,broken clouds
48,Obidos,BR,-1.9175,-55.5181,73.02,97,100,4.16,overcast clouds
49,Sura,RU,53.8879,45.7419,12.67,98,96,3.62,overcast clouds
50,Nikolskoye,RU,59.7035,30.7861,27.72,83,100,15.57,light snow
51,Bluff,NZ,-46.6,168.3333,58.89,87,100,7.23,overcast clouds
52,Sidi Ali,DZ,36.0998,0.4206,50.54,41,0,8.7,clear sky
53,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,18.19,93,75,2.24,broken clouds
54,Albany,US,42.6001,-73.9662,12.63,62,100,5.01,overcast clouds
55,Liberty,US,31.8335,-81.5004,44.92,31,0,8.01,clear sky
56,La Ronge,CA,55.1001,-105.2842,10.62,72,100,5.75,overcast clouds
